State,County,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
North Carolina,Pamlico,01/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/26/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/26/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/26/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,01/26/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,01/26/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,01/26/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,01/12/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,01/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,01/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,01/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,01/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/01/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/01/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/01/2022,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/01/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,02/01/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,02/01/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,02/01/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Virginia,Virginia Beach,02/01/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
Florida,Palm Beach,02/01/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
Florida,Palm Beach,02/01/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
Maryland,Kent,02/02/2022,EA H5N1,Lesser scaup,Wild bird,Live bird,USGS/SCWDS
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/09/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Delaware,Kent,02/09/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/09/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/09/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,02/08/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,02/08/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/08/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/08/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/08/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/08/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,02/08/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,02/08/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/08/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/16/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/16/2022,EA H5,American black duck,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
Delaware,Kent,02/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,Northern pintail,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Currituck,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Grafton,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Grafton,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Grafton,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
North Carolina,Hyde,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Connecticut,New London,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Virginia,Virginia Beach,02/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Craven,02/16/2022,EA H5N1,Wood duck,Wild bird,Hunter harvest,NWDP
Georgia,Hart,02/16/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Georgia,Hart,02/16/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,02/16/2022,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,02/16/2022,EA H5N1,American green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,02/16/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Currituck,02/16/2022,EA H5,Northern shoveler,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5,Northern shoveler,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5,Northern shoveler,Wild bird,Live bird,NWDP
North Carolina,Currituck,02/16/2022,EA H5N1,Northern shoveler,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,02/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
North Carolina,Hyde,02/11/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,USFWS/USGS
Kentucky,Ballard,02/17/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
Kentucky,Ballard,02/17/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
North Carolina,Carteret,02/17/2022,EA H5,Redhead duck,Wild bird,Morbidity/Mortality,NC WRC/SCWDS
Florida,Brevard,02/17/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Florida,Brevard,02/17/2022,EA/AM H5N1,Black vulture,Wild bird,Morbidity/Mortality,Private (non-government) submission
Kentucky,Henderson,02/23/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Kentucky,Henderson,02/23/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Kentucky,Henderson,02/23/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Kentucky,Henderson,02/23/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Maine,Washington,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Maine,Washington,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Maine,Washington,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Maine,Washington,02/23/2022,EA H5N1,American black duck,Wild bird,Live bird,NWDP
Maine,Washington,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Maine,Washington,02/23/2022,EA H5N1,American black duck,Wild bird,Live bird,NWDP
Kentucky,Breckinridge,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Kentucky,Breckinridge,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Kentucky,Breckinridge,02/23/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Kentucky,Breckinridge,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5N1,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5N1,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5N1,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Connecticut,New Haven,02/23/2022,EA H5,American black duck,Wild bird,Live bird,NWDP
Alabama,Limestone,02/23/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
New Jersey,Cape May,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Jersey,Cape May,02/23/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
